importer name,importer country (2 letter code),total # of shipments,total Kg,Total amount,# shipments from South Africa,Total tons from South Africa,Description
JIANGSU SOHO METALS&MINERALS CO LTD,CN,123,4811544.27,0,39.0,1166.1,"KLC GEMI A LOJ HIZ SAN TIC LTD STI (TR), Shipments: 1, Tonnage: 1947.78 tons
MGABADELI MINERAL RESOURCE PTY LTD (ZA), Shipments: 39, Tonnage: 1166.10 tons
FENG INTERNATIONAL LTD (MZ), Shipments: 39, Tonnage: 1100.97 tons
OKING GROUP LTD (MZ), Shipments: 20, Tonnage: 577.82 tons
NOTAN MINERALS (PK), Shipments: 5, Tonnage: 4.80 tons"
JIANGSU XINHENYI INTERNATIONAL TRADE CO LTD,CN,196,5420668.22,0,182.0,5405.67,"ZOPCO SA (ZA), Shipments: 182, Tonnage: 5405.67 tons
INDUS MINERAL (PK), Shipments: 6, Tonnage: 8.79 tons
MAX ORE SERVICES (PK), Shipments: 4, Tonnage: 4.03 tons
MARVEL AGRO COMMODITIES (PK), Shipments: 2, Tonnage: 1.23 tons
MINERAL EXP INT (PK), Shipments: 2, Tonnage: 0.95 tons"
JIANGU XINHENYI INTERNATIONAL TRADE CO LTD,CN,2,2016.0,0,0.0,0.0,"INDUS MINERAL (PK), Shipments: 2, Tonnage: 2.02 tons"
JIANGXI FENGKAI INTERNATIONAL TRADE CO LTD,CN,2,775.0,0,0.0,0.0,"DYNAMIC GLOBAL SERVICES (SMC PRIVATE) LTD (PK), Shipments: 2, Tonnage: 0.78 tons"
JIANGXI MINMETALS INDUSTRIAL CO,CN,8,225840.0,0,0.0,0.0,"FIRST CHRONICLES EXPORT&PROJECT (MZ), Shipments: 8, Tonnage: 225.84 tons"
JINENCHI INTERNATIONAL TRADE (BEIJING) CO LTD,CN,1,33.48,0,0.0,0.0,"KAMRAN ENTERPRISES (PK), Shipments: 1, Tonnage: 0.03 tons"
JIS VIETNAM JOINT STOCK COMPANY,VN,1,0.0,0,0.0,0.0,"BRAMMER STANDARD COMPANY INC. (CN), Shipments: 1, Tonnage: 0.00 tons"
JOC JIANGSU WUCHAN TRADING CO LTD,CN,102,3050560.0,0,69.0,2053.44,"MGABADELI MINERAL RESOURCE PTY LTD (ZA), Shipments: 36, Tonnage: 1070.28 tons
UNIVERSAL MINE&MINERAL GROUPS (PK), Shipments: 33, Tonnage: 997.12 tons
ONELINK INVESTMENT (PTY) LTD (ZA), Shipments: 33, Tonnage: 983.16 tons"
JOC JIANGSU YUANFAN NEW ENERGY,CN,506,15059450.0,0,401.0,11983.1,"BAOSTEEL RESOURCES SOUTH AFRICA (ZA), Shipments: 286, Tonnage: 8551.40 tons
MGABADELI MINERAL RESOURCE PTY LTD (ZA), Shipments: 75, Tonnage: 2242.50 tons
ALECAIA AG (TR), Shipments: 66, Tonnage: 1975.38 tons
OREWAYS MINING SA (PTY) LTD (ZA), Shipments: 40, Tonnage: 1189.20 tons
OKING GROUP LTD (MZ), Shipments: 39, Tonnage: 1100.97 tons"
KAIHANG MATERIALS INDUSTRY CO LTD,CN,4,3024.0,0,0.0,0.0,"MAX ORE SERVICES (PK), Shipments: 4, Tonnage: 3.02 tons"
KOREA CHROME CO,KR,10,222300.0,0,10.0,222.3,"SAMCHROME FZE (ZA), Shipments: 10, Tonnage: 222.30 tons"
LIANYUANG HONGYU SUPPLY CHAIN MANAGEMENT CO LTD,CN,2,111.38,0,0.0,0.0,"KAUSAR GHEE MILLLS (PRIVATE) LTD (PK), Shipments: 1, Tonnage: 0.06 tons
KAUSAR GHEE MILLS (PVT) LTD (PK), Shipments: 1, Tonnage: 0.06 tons"
LIANYUNGANG CITY KUNQING INTERNATIO,CN,2,952.0,0,0.0,0.0,"S L M ENTERPRISES (PK), Shipments: 2, Tonnage: 0.95 tons"
LIANYUNGANG HANFEI MINERAL PRODUCTS,CN,41,1168200.0,0,0.0,0.0,"ITEL MOBILE LTD (MZ), Shipments: 41, Tonnage: 1168.20 tons"
LIANYUNGANG HENGLITAI SUPPLY CHAIN MANAGEMENT CO LTD,CN,1,82.5,0,0.0,0.0,"USSA ENTERPRISES (PK), Shipments: 1, Tonnage: 0.08 tons"
LIANYUNGANG METAL SOURCE SCM CO LTD,CN,4,112920.0,0,0.0,0.0,"RTS SCM CO LTD (MZ), Shipments: 4, Tonnage: 112.92 tons"
LIANYUNGANG QINGU INTERNATIONAL,CN,489,13812450.0,0,483.0,13812.45,"HK JUNL TRANDING LTD (ZA), Shipments: 453, Tonnage: 12920.55 tons
HK JUNL TRANDING LIMITED (ZA), Shipments: 30, Tonnage: 891.90 tons
HK JUNL TRANDING LTD (MY), Shipments: 6, Tonnage: 0.00 tons"
LIANYUNGANG TOUCHSTONE TRADE CO LTD,CN,2,1008.0,0,0.0,0.0,"SANHE (PAKISTAN) RESOURCE COMPANY (SMC PRIVATE) LTD (PK), Shipments: 2, Tonnage: 1.01 tons"
